id,agenda_legislativa,corporacion_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
1280,6139,1,11933,NA,NA,NA,NA,NA
1281,6132,1,11934,NA,NA,NA,NA,NA
1282,6126,2,11935,NA,NA,NA,NA,NA
1283,6125,2,11936,NA,NA,NA,NA,NA
1284,6104,1,11894,NA,NA,NA,NA,NA
1285,6100,2,11932,NA,NA,NA,NA,NA
1286,6095,1,11886,NA,NA,NA,NA,NA
1287,6089,2,11930,NA,NA,NA,NA,NA
1288,6083,1,11877,NA,NA,NA,NA,NA
1289,6079,2,11880,NA,NA,NA,NA,NA
1290,6069,2,11870,NA,NA,NA,NA,NA
1291,6063,1,11866,NA,NA,NA,NA,NA
1292,6047,1,11890,NA,NA,NA,NA,NA
1293,6045,2,11859,NA,NA,NA,NA,NA
1294,6041,2,11889,NA,NA,NA,NA,NA
1295,6027,1,11850,NA,NA,NA,NA,NA
1296,5980,1,11860,NA,NA,NA,NA,NA
1297,5976,2,11861,NA,NA,NA,NA,NA
1298,5969,1,11829,NA,NA,NA,NA,NA
1299,5969,2,11830,NA,NA,NA,NA,NA
1300,5954,2,11839,NA,NA,NA,NA,NA
1301,5952,1,11841,NA,NA,NA,NA,NA
1302,5935,2,11815,NA,NA,NA,NA,NA
1303,5934,2,11838,NA,NA,NA,NA,NA
1304,5932,1,11840,NA,NA,NA,NA,NA
1305,5924,2,11835,NA,NA,NA,NA,NA
1306,5886,1,11834,NA,NA,NA,NA,NA
1307,5883,1,11832,NA,NA,NA,NA,NA
1308,5844,2,11836,NA,NA,NA,NA,NA
1309,5835,1,11744,NA,NA,NA,NA,NA
1310,5834,2,11745,NA,NA,NA,NA,NA
1311,5833,2,11731,NA,NA,NA,NA,NA
1312,5832,1,11733,NA,NA,NA,NA,NA
1313,5831,2,11727,NA,NA,NA,NA,NA
1314,5830,2,11724,NA,NA,NA,NA,NA
1315,5829,1,11728,NA,NA,NA,NA,NA
1316,5828,1,11720,NA,NA,NA,NA,NA
1317,5827,1,11718,NA,NA,NA,NA,NA
1318,5826,2,11716,NA,NA,NA,NA,NA
1319,5825,1,11707,NA,NA,NA,NA,NA
1320,5824,2,11702,NA,NA,NA,NA,NA
1321,5822,2,11697,NA,NA,NA,NA,NA
1322,5821,1,11690,NA,NA,NA,NA,NA
1323,5820,1,11680,NA,NA,NA,NA,NA
1324,5818,2,11670,NA,NA,NA,NA,NA
1325,5816,1,11668,NA,NA,NA,NA,NA
1326,5809,2,11714,NA,NA,NA,NA,NA
1327,5807,2,11648,NA,NA,NA,NA,NA
1328,5806,1,11645,NA,NA,NA,NA,NA
1329,5801,1,11644,NA,NA,NA,NA,NA
1330,5795,2,11641,NA,NA,NA,NA,NA
1331,5794,2,11653,NA,NA,NA,NA,NA
1332,5782,1,11635,NA,NA,NA,NA,NA
1333,5776,2,11629,NA,NA,NA,NA,NA
1334,5766,1,11627,NA,NA,NA,NA,NA
1335,5764,2,11623,NA,NA,NA,NA,NA
1336,5759,2,11621,NA,NA,NA,NA,NA
1337,5749,2,11611,NA,NA,NA,NA,NA
1338,5744,1,11609,NA,NA,NA,NA,NA
1339,5736,2,11654,NA,NA,NA,NA,NA
1340,5730,1,11603,NA,NA,NA,NA,NA
1341,5729,2,11606,NA,NA,NA,NA,NA
1342,5717,2,11590,NA,NA,NA,NA,NA
1343,5716,1,11592,NA,NA,NA,NA,NA
1344,5701,2,11584,NA,NA,NA,NA,NA
1345,5700,1,11597,NA,NA,NA,NA,NA
1346,5698,2,11580,NA,NA,NA,NA,NA
1347,5693,1,11576,NA,NA,NA,NA,NA
1348,5693,2,11577,NA,NA,NA,NA,NA
1349,5688,1,11575,NA,NA,NA,NA,NA
1350,5686,2,11568,NA,NA,NA,NA,NA
1351,5673,2,11594,NA,NA,NA,NA,NA
1352,5672,1,11562,NA,NA,NA,NA,NA
1353,5663,2,11595,NA,NA,NA,NA,NA
1354,5662,2,11593,NA,NA,NA,NA,NA
1355,5657,1,11596,NA,NA,NA,NA,NA
1356,5656,1,11544,NA,NA,NA,NA,NA
1357,5656,2,11545,NA,NA,NA,NA,NA
1358,5646,1,11541,NA,NA,NA,NA,NA
1359,5640,1,11534,NA,NA,NA,NA,NA
1360,5635,2,11536,NA,NA,NA,NA,NA
1361,5633,1,11530,NA,NA,NA,NA,NA
1362,5625,2,11516,NA,NA,NA,NA,NA
1363,5605,1,11513,NA,NA,NA,NA,NA
1364,5599,1,11509,NA,NA,NA,NA,NA
1365,5595,2,11504,NA,NA,NA,NA,NA
1366,5594,2,11502,NA,NA,NA,NA,NA
1367,5584,2,11499,NA,NA,NA,NA,NA
1368,5582,1,11498,NA,NA,NA,NA,NA
1369,5581,1,11495,NA,NA,NA,NA,NA
1370,5575,2,11483,NA,NA,NA,NA,NA
1371,5569,1,11490,NA,NA,NA,NA,NA
1372,5547,2,11471,NA,NA,NA,NA,NA
1373,5546,2,11468,NA,NA,NA,NA,NA
1374,5532,1,11465,NA,NA,NA,NA,NA
1375,5528,1,11461,NA,NA,NA,NA,NA
1376,5528,2,11462,NA,NA,NA,NA,NA
1377,5524,1,11458,NA,NA,NA,NA,NA
1378,5518,2,11452,NA,NA,NA,NA,NA
1379,5517,2,11449,NA,NA,NA,NA,NA
1380,5501,1,11442,NA,NA,NA,NA,NA
1381,5473,2,11446,NA,NA,NA,NA,NA
1382,5471,2,11436,NA,NA,NA,NA,NA
1383,5468,1,11428,NA,NA,NA,NA,NA
1384,5464,1,11418,NA,NA,NA,NA,NA
1385,5451,2,11411,NA,NA,NA,NA,NA
1386,5450,2,11408,NA,NA,NA,NA,NA
1387,5444,1,11406,NA,NA,NA,NA,NA
1388,5437,1,11400,NA,NA,NA,NA,NA
1389,5424,2,11414,NA,NA,NA,NA,NA
1390,5418,1,11415,NA,NA,NA,NA,NA
1391,5404,2,11396,NA,NA,NA,NA,NA
1392,5402,2,11369,NA,NA,NA,NA,NA
1393,5395,2,11363,NA,NA,NA,NA,NA
1394,5381,1,11365,NA,NA,NA,NA,NA
1395,5373,1,11349,NA,NA,NA,NA,NA
1396,5372,2,11344,NA,NA,NA,NA,NA
1397,5365,2,11412,NA,NA,NA,NA,NA
1398,5356,1,11322,NA,NA,NA,NA,NA
1399,5347,1,11316,NA,NA,NA,NA,NA
1400,5343,2,11309,NA,NA,NA,NA,NA
1401,5338,2,11308,NA,NA,NA,NA,NA
1402,5326,1,11350,NA,NA,NA,NA,NA
1403,5325,1,11351,NA,NA,NA,NA,NA
1404,5325,2,11352,NA,NA,NA,NA,NA
1405,5306,2,11294,NA,NA,NA,NA,NA
1406,5305,1,11291,NA,NA,NA,NA,NA
1407,5290,2,11288,NA,NA,NA,NA,NA
1408,5283,1,11279,NA,NA,NA,NA,NA
1409,5282,2,11276,NA,NA,NA,NA,NA
1410,5281,2,11273,NA,NA,NA,NA,NA
1411,5280,2,11271,NA,NA,NA,NA,NA
1412,5279,2,11269,NA,NA,NA,NA,NA
1413,5278,2,11268,NA,NA,NA,NA,NA
1414,5277,1,11266,NA,NA,NA,NA,NA
1415,5276,1,11264,NA,NA,NA,NA,NA
1416,5275,2,11262,NA,NA,NA,NA,NA
1417,5270,2,11260,NA,NA,NA,NA,NA
1418,5263,1,11241,NA,NA,NA,NA,NA
1419,5262,2,11236,NA,NA,NA,NA,NA
1420,5250,1,11281,NA,NA,NA,NA,NA
1421,5249,2,11283,NA,NA,NA,NA,NA
1422,5244,2,11282,NA,NA,NA,NA,NA
1423,5234,1,11214,NA,NA,NA,NA,NA
1424,5233,1,11211,NA,NA,NA,NA,NA
1425,5232,1,11209,NA,NA,NA,NA,NA
1426,5231,1,11207,NA,NA,NA,NA,NA
1427,5230,1,11205,NA,NA,NA,NA,NA
1428,5229,2,11203,NA,NA,NA,NA,NA
1429,5228,2,11201,NA,NA,NA,NA,NA
1430,5227,1,11197,NA,NA,NA,NA,NA
1431,5226,2,11191,NA,NA,NA,NA,NA
1432,5225,2,11184,NA,NA,NA,NA,NA
1433,5224,2,11230,NA,NA,NA,NA,NA
1434,5220,2,11232,NA,NA,NA,NA,NA
1435,5219,1,11231,NA,NA,NA,NA,NA
1436,5147,2,11129,NA,NA,NA,NA,NA
1437,5146,2,11128,NA,NA,NA,NA,NA
1438,5144,2,11122,NA,NA,NA,NA,NA
1439,5141,1,11112,NA,NA,NA,NA,NA
1440,5141,2,11113,NA,NA,NA,NA,NA
1441,5140,1,11117,NA,NA,NA,NA,NA
1442,5138,2,11120,NA,NA,NA,NA,NA
1443,5137,2,11097,NA,NA,NA,NA,NA
1444,5136,2,11079,NA,NA,NA,NA,NA
1445,5135,2,11080,NA,NA,NA,NA,NA
1446,5134,1,11066,NA,NA,NA,NA,NA
1447,5133,2,11061,NA,NA,NA,NA,NA
1448,5132,2,11054,NA,NA,NA,NA,NA
1449,5131,2,11053,NA,NA,NA,NA,NA
1450,5130,2,11049,NA,NA,NA,NA,NA
1451,5129,2,11047,NA,NA,NA,NA,NA
1452,5128,2,11043,NA,NA,NA,NA,NA
1453,5127,2,11040,NA,NA,NA,NA,NA
1454,5126,2,11038,NA,NA,NA,NA,NA
1455,5125,2,11036,NA,NA,NA,NA,NA
1456,5088,2,11062,NA,NA,NA,NA,NA
1457,5087,2,11064,NA,NA,NA,NA,NA
1458,5086,1,11063,NA,NA,NA,NA,NA
1459,5085,1,10869,NA,NA,NA,NA,NA
1460,5084,2,10867,NA,NA,NA,NA,NA
1461,5081,1,10866,NA,NA,NA,NA,NA
1462,5079,2,10865,NA,NA,NA,NA,NA
1463,5075,1,10842,NA,NA,NA,NA,NA
1464,5074,2,10905,NA,NA,NA,NA,NA
1465,5064,2,10840,NA,NA,NA,NA,NA
