id,cuatrienio_id,comision_id,congresista_id,cargo_legislativo_id_comision,fecha_inicio,fecha_fin,activo,usercreated,usermodifed,created_at,updated_at
34,1,10,483,NA,05/05/99,19/07/02,T,,,17/01/10 17:29,16/09/11 17:20
35,1,12,415,NA,01/01/02,19/07/02,T,,,17/01/10 17:29,19/09/11 16:06
36,1,2,432,NA,16/09/98,05/06/01,T,,,17/01/10 17:29,21/09/11 18:27
37,1,4,332,NA,15/08/01,19/07/02,T,,,17/01/10 17:29,22/09/11 19:02
38,1,2,412,NA,06/08/00,19/07/02,T,,,17/01/10 17:29,22/09/11 20:58
39,1,12,320,NA,26/04/99,26/10/99,T,,,17/01/10 17:29,23/09/11 16:10
40,1,4,308,NA,10/03/00,10/06/00,T,,,17/01/10 17:29,06/10/11 21:50
41,1,4,303,NA,01/08/01,31/10/01,T,,,17/01/10 17:29,04/10/11 19:50
42,1,4,417,NA,20/07/98,04/03/99,T,,,17/01/10 17:29,05/10/11 18:39
43,1,10,375,NA,25/11/98,19/07/02,T,,,17/01/10 17:29,10/10/11 20:58
44,1,12,467,NA,29/07/99,28/10/99,T,,,17/01/10 17:29,11/10/11 20:06
45,1,7,398,NA,09/09/99,31/12/99,T,,,17/01/10 17:29,22/09/10 21:00
46,2,12,1011,NA,20/07/06,25/09/07,T,,,18/01/10 23:29,08/04/10 17:35
47,1,7,374,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,22/09/10 19:30
48,1,4,393,NA,01/09/01,30/11/01,T,,,17/01/10 17:29,11/10/11 21:10
49,1,12,403,NA,20/07/99,20/07/00,T,,,17/01/10 17:29,11/10/11 21:33
50,1,7,426,NA,20/07/00,19/07/02,T,,,17/01/10 17:29,12/10/11 20:27
51,1,9,363,NA,16/12/99,16/12/00,T,,,17/01/10 17:29,12/10/11 22:09
52,1,6,478,NA,06/03/99,15/09/99,T,,,17/01/10 17:29,13/10/11 19:44
53,1,2,378,NA,01/02/00,31/10/00,T,,,17/01/10 17:29,18/10/11 19:14
54,1,7,379,NA,01/10/99,31/12/99,T,,,17/01/10 17:29,19/10/11 18:22
55,1,9,434,NA,01/09/00,30/11/00,T,,,17/01/10 17:29,19/10/11 21:15
56,1,7,315,NA,01/01/00,31/10/00,T,,,17/01/10 17:29,24/10/11 18:45
57,1,7,307,NA,01/07/01,30/09/01,T,,,17/01/10 17:29,25/10/11 18:21
58,1,6,351,NA,02/11/99,29/02/00,T,,,17/01/10 17:29,04/05/12 18:56
59,1,7,424,NA,01/03/00,31/05/00,T,,,17/01/10 17:29,04/05/12 19:38
60,1,2,309,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,25/05/10 18:05
61,4,12,19,NA,20/07/02,19/07/06,T,,,10/02/10 14:57,17/03/10 21:00
62,1,13,368,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,17/03/10 21:00
63,4,14,25,NA,20/07/02,08/07/05,T,,,11/02/10 14:41,25/05/10 18:29
64,1,2,387,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,29/04/10 14:24
