id,nombre,departamento_id,activo,usercreated,usermodifed,created_at,updated_at
449,La Palma,15,NA,NA,NA,NA,NA
450,Quipile,15,NA,NA,NA,NA,NA
451,Dibulla,19,NA,NA,NA,NA,NA
452,Topaipí,15,NA,NA,NA,NA,NA
453,Agua de Dios,15,NA,NA,NA,NA,NA
454,La Mesa,15,NA,NA,NA,NA,NA
455,Gachancipá,15,NA,NA,NA,NA,NA
456,Cajicá,15,NA,NA,NA,NA,NA
457,Pacho,15,NA,NA,NA,NA,NA
458,Pueblo Rico,27,NA,NA,NA,NA,NA
459,Timaná,18,NA,NA,NA,NA,NA
460,Oiba,29,NA,NA,NA,NA,NA
461,Villeta,15,NA,NA,NA,NA,NA
462,Junin,15,NA,NA,NA,NA,NA
463,Dagua,32,NA,NA,NA,NA,NA
464,Mariquita,31,NA,NA,NA,NA,NA
465,Chiscas,7,NA,NA,NA,NA,NA
466,Landázuri,29,NA,NA,NA,NA,NA
467,Becerril,12,NA,NA,NA,NA,NA
468,Mercaderes,11,NA,NA,NA,NA,NA
469,Charalá,29,NA,NA,NA,NA,NA
470,Santa Cruz de Monpox,6,NA,NA,NA,NA,NA
471,Cañasgordas,3,NA,NA,NA,NA,NA
472,San Joaquín,29,NA,NA,NA,NA,NA
473,Isnos,18,NA,NA,NA,NA,NA
474,Sativasur,7,NA,NA,NA,NA,NA
475,Puerto López,22,NA,NA,NA,NA,NA
476,Enciso,29,NA,NA,NA,NA,NA
477,Andagoya,13,NA,NA,NA,NA,NA
478,Caldas,3,NA,NA,NA,NA,NA
479,San Jacinto,6,NA,NA,NA,NA,NA
480,Baranoa,5,NA,NA,NA,NA,NA
481,San Carlos,3,NA,NA,NA,NA,NA
482,Sesquilé,15,NA,NA,NA,NA,NA
483,Caloto,11,NA,NA,NA,NA,NA
484,Charta,29,NA,NA,NA,NA,NA
485,San Vicente del Caguán,9,NA,NA,NA,NA,NA
486,El Charco,23,NA,NA,NA,NA,NA
487,San Mateo,7,NA,NA,NA,NA,NA
488,Turbo,3,NA,NA,NA,NA,NA
489,Cuaspud,23,NA,NA,NA,NA,NA
490,Arboletes,3,NA,NA,NA,NA,NA
491,La Chorrera,2,NA,NA,NA,NA,NA
492,Manaure,19,NA,NA,NA,NA,NA
493,San Bernardo,15,NA,NA,NA,NA,NA
494,Saboyá,7,NA,NA,NA,NA,NA
495,Repelón,5,NA,NA,NA,NA,NA
496,Acevedo,18,NA,NA,NA,NA,NA
497,Dabeiba,3,NA,NA,NA,NA,NA
498,El Paujil,9,NA,NA,NA,NA,NA
499,Cucunubá,15,NA,NA,NA,NA,NA
500,Bojayá,13,NA,NA,NA,NA,NA
501,El Difícil,20,NA,NA,NA,NA,NA
502,Funes,23,NA,NA,NA,NA,NA
503,La Virginia,27,NA,NA,NA,NA,NA
504,Ayapel,14,NA,NA,NA,NA,NA
505,San Pelayo,14,NA,NA,NA,NA,NA
506,La Apartada,14,NA,NA,NA,NA,NA
507,Planadas,31,NA,NA,NA,NA,NA
508,Dolores,31,NA,NA,NA,NA,NA
509,Natagaima,31,NA,NA,NA,NA,NA
510,Pueblo Nuevo,14,NA,NA,NA,NA,NA
511,El Roble,30,NA,NA,NA,NA,NA
512,Morroa,30,NA,NA,NA,NA,NA
513,Aguazul,10,NA,NA,NA,NA,NA
514,Jerico,3,NA,NA,NA,NA,NA
515,Don Matías,3,NA,NA,NA,NA,NA
516,Malaga,29,NA,NA,NA,NA,NA
517,Pisba,7,NA,NA,NA,NA,NA
518,Gigante,18,NA,NA,NA,NA,NA
519,Palmar,29,NA,NA,NA,NA,NA
520,Barrancas,19,NA,NA,NA,NA,NA
521,El Dovio,32,NA,NA,NA,NA,NA
522,Valle del Guamez,25,NA,NA,NA,NA,NA
523,Liborina,3,NA,NA,NA,NA,NA
524,Capitanejo,29,NA,NA,NA,NA,NA
525,Mompox,6,NA,NA,NA,NA,NA
526,Villapinzón,15,NA,NA,NA,NA,NA
527,La Unión,23,NA,NA,NA,NA,NA
528,Barbosa,3,NA,NA,NA,NA,NA
529,Norcasia,8,NA,NA,NA,NA,NA
530,Ariguaní,20,NA,NA,NA,NA,NA
531,Zapayán,20,NA,NA,NA,NA,NA
532,Ituango,3,NA,NA,NA,NA,NA
533,Puerto Berrío,3,NA,NA,NA,NA,NA
534,Toluviejo,30,NA,NA,NA,NA,NA
535,"Nueva York, Estados Unidos",36,NA,NA,NA,NA,NA
