id,created_at,updated_at,nombre,imagen,proyecto_ley_id,activo,usermodifed,usercreated
98,2011/01/14 20:46:29,2011/01/14 20:46:29,"Ministro de Relaciones Exteriores, Camilo Reyes Rodríguez",uploads/otros_autores/camilo_reyes_rodriguez.JPG,NA,NA,NA,NA
99,2011/01/14 20:47:25,2011/01/14 20:47:25,"Ministro de Desarrollo Económico, Carlos Julio Gaitán González",uploads/otros_autores/Carlos_Julio_Gaitan.jpg,NA,NA,NA,NA
100,2011/01/17 17:20:22,2011/01/17 17:20:22,"Ministro de Educación, Jaime Niño Diez",NA,NA,NA,NA,NA
101,2011/01/17 19:27:12,2011/01/17 19:27:12,"Fiscal General de la Nación, Alfonso Gómez Méndez",uploads/otros_autores/Alfonso_Gomez_Mendez.jpg,NA,NA,NA,NA
102,2011/01/19 16:19:19,2011/01/19 16:19:19,"Presidente del Consejo Superior de la Judicatura, Gustavo Cuello Iriarte",NA,NA,NA,NA,NA
103,2011/01/19 18:50:21,2011/01/19 18:50:21,"Ministro del Interior, Alfonso López Caballero",uploads/otros_autores/Alfonso_Lopez_Caballero.jpg,NA,NA,NA,NA
104,2011/01/21 21:25:44,2011/01/21 21:25:44,"Ministro del Interior, Néstor Humberto Martínez Neira",uploads/otros_autores/imagen.gif,NA,NA,NA,NA
105,2011/01/24 19:09:53,2011/01/24 19:09:53,"Ministro de Defensa Nacional, Rodrigo Lloreda Caicedo",uploads/otros_autores/Rodrigo_Lloreda_Caicedo.jpg,NA,NA,NA,NA
87,2010/11/16 17:13:56,2010/11/16 17:13:56,"Ministro de Tecnologías de la Información (e), Daniel Enrique Medina Velandia",uploads/otros_autores/daniel_medina_velandia.jpg,NA,NA,NA,NA
106,2011/01/25 18:21:52,2011/01/25 18:21:52,"Ministro de Desarrollo Económico, Fernando Araújo Perdomo",uploads/otros_autores/Fernando_ARAUJO.JPG,NA,NA,NA,NA
108,2011/01/25 18:34:43,2011/01/25 18:34:43,"Defensor del Pueblo, José Fernando Castro Caycedo",uploads/otros_autores/jose_fernando_castro_caicedo.jpg,NA,NA,NA,NA
110,2011/01/25 19:03:31,2011/01/25 19:03:31,"Ministra de Comunicaciones, Claudia de Francisco",uploads/otros_autores/Claudia_Francisco.jpg,NA,NA,NA,NA
111,2011/01/26 18:21:50,2011/01/26 18:21:50,"Ministro de Justicia y del Derecho, Parmenio Cuéllar Bastidas",uploads/otros_autores/Parmenio_Cuellar.bmp,NA,NA,NA,NA
107,2011/01/25 18:25:11,2012/06/22 06:01:09,"Director del Departamento Nacional de Planeación, Jaime Ruiz Llano",uploads/otros_autores/Jaime_Ruiz_Llano.jpg,NA,NA,NA,NA
76,2010/10/11 20:33:24,2011/03/10 16:59:13,"Procurador General de la Nación (E), Carlos Darío Gómez Pavajeau.",uploads/otros_autores/Carlos_Gomez_Pavajeu.jpg,NA,NA,NA,NA
142,2011/05/03 21:53:28,2011/05/03 21:53:28,"Ministro de Minas y Energía, Ramiro Valencia Cossio",uploads/otros_autores/Ramiro_Valencia.jpg,NA,NA,NA,NA
143,2011/05/04 18:51:54,2011/05/04 18:51:54,"Ministro de Desarrollo Económico, Eduardo Pizano de Narváez",uploads/otros_autores/eduardo-pizano.jpg,NA,NA,NA,NA
155,2011/08/16 20:42:35,2011/08/16 20:42:35,"Presidente del Consejo de Estado, Mauricio Fajardo Gómez",uploads/otros_autores/Mauricio_Fajardo_Consejo_de_Estado.jpg,NA,NA,NA,NA
114,2011/01/31 22:24:46,2011/01/31 22:24:46,"Presidente del Consejo Superior de la Judicatura, Rómulo González Trujillo",uploads/otros_autores/Romulo_Gonzles_Trujillo.JPG,NA,NA,NA,NA
115,2011/02/01 16:49:11,2011/02/01 16:49:11,"Ministro de Agricultura y Desarrollo Rural, Carlos Roberto Murgas Guerrero",uploads/otros_autores/carlos_murgas.jpg,NA,NA,NA,NA
116,2011/02/01 19:46:44,2011/02/01 19:46:44,"Ministro de Transporte, Mauricio Cárdenas Santamaría",uploads/otros_autores/Mauricio-Cardenas.gif,NA,NA,NA,NA
117,2011/02/02 20:26:48,2011/02/02 20:26:48,"Ministro de Defensa (E), Fernando Tapias Stahelin",uploads/otros_autores/fernando_Tapias.jpg,NA,NA,NA,NA
118,2011/02/07 18:13:14,2011/02/07 18:13:14,"Contralor General de la Nación, Carlos Ossa Escobar",uploads/otros_autores/carlos_ossa.jpg,NA,NA,NA,NA
119,2011/02/07 22:06:53,2011/02/07 22:06:53,"Ministro de Salud, Virgilio Galvis Ramírez",uploads/otros_autores/Virgilio_Galvis_Ramirez.jpg,NA,NA,NA,NA
120,2011/02/14 19:21:49,2011/02/15 16:24:05,"Ministro de Justicia, Rómulo González Trujillo",uploads/otros_autores/Romulo_Gonzles_Trujillo_.JPG,NA,NA,NA,NA
121,2011/02/14 19:39:55,2011/02/15 16:26:42,"Ministro de Educación, Germán Bula Escobar",uploads/otros_autores/german_Bula.jpg,NA,NA,NA,NA
144,2011/05/09 21:48:21,2011/05/09 21:48:46,"Viceministra de Medio Ambiente, Claudia Martínez Zuleta",uploads/otros_autores/Claudia-Martinez_Zuleta.jpg,NA,NA,NA,NA
145,2011/05/10 20:05:42,2011/05/10 20:05:42,"Ministro de Defensa Nacional, Gustavo Bell Lemus",uploads/otros_autores/Gustavo-Bell.jpg,NA,NA,NA,NA
122,2011/02/15 18:25:23,2011/02/15 18:25:23,"Ministro de Desarrollo Económico, Jaime Alberto Cabal",uploads/otros_autores/JAime_Alberto_Cabal.jpg,NA,NA,NA,NA
156,2011/08/19 20:05:52,2011/08/19 20:05:52,"Ministro de Justicia, Juan Carlos Esguerra Portocarrero",uploads/otros_autores/Juan_Carlos_Esguerra.jpg,NA,NA,NA,NA
124,2011/02/16 15:28:42,2011/02/16 15:28:42,"Ministra de Trabajo y Seguridad Social, Gina Magnolia Riaño Barón",uploads/otros_autores/Gina_Magnolia_Riaño.jpg,NA,NA,NA,NA
