id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
68585,18155,33,NA,NA,NA,NA,NA
68618,27435,2448,NA,NA,NA,NA,NA
65652,27592,1912,NA,NA,NA,NA,NA
65653,27592,873,NA,NA,NA,NA,NA
63460,24938,288,NA,NA,NA,NA,NA
63461,24938,66,NA,NA,NA,NA,NA
63462,24938,290,NA,NA,NA,NA,NA
63463,24938,1486,NA,NA,NA,NA,NA
63464,24938,1805,NA,NA,NA,NA,NA
63465,24938,48,NA,NA,NA,NA,NA
63466,24938,2231,NA,NA,NA,NA,NA
63467,24938,88,NA,NA,NA,NA,NA
63468,24938,2233,NA,NA,NA,NA,NA
63469,24938,763,NA,NA,NA,NA,NA
63470,24938,668,NA,NA,NA,NA,NA
63471,24938,2462,NA,NA,NA,NA,NA
63472,24938,1055,NA,NA,NA,NA,NA
63477,24995,914,NA,NA,NA,NA,NA
63478,24995,196,NA,NA,NA,NA,NA
63482,160,209,NA,NA,NA,NA,NA
63483,160,507,NA,NA,NA,NA,NA
63484,160,111,NA,NA,NA,NA,NA
63485,25017,680,NA,NA,NA,NA,NA
63486,25020,680,NA,NA,NA,NA,NA
63487,25020,59,NA,NA,NA,NA,NA
63488,25030,608,NA,NA,NA,NA,NA
63489,25030,680,NA,NA,NA,NA,NA
63490,25030,77,NA,NA,NA,NA,NA
63491,25030,2600,NA,NA,NA,NA,NA
63492,25030,85,NA,NA,NA,NA,NA
63493,25030,21,NA,NA,NA,NA,NA
63494,25030,95,NA,NA,NA,NA,NA
63495,25031,608,NA,NA,NA,NA,NA
63496,25031,680,NA,NA,NA,NA,NA
63497,25031,77,NA,NA,NA,NA,NA
63498,25031,2600,NA,NA,NA,NA,NA
63499,25031,85,NA,NA,NA,NA,NA
63500,25031,21,NA,NA,NA,NA,NA
63501,25031,95,NA,NA,NA,NA,NA
558,109,7,NA,NA,NA,NA,NA
559,109,557,NA,NA,NA,NA,NA
560,109,906,NA,NA,NA,NA,NA
74742,41751,914,NA,NA,NA,NA,NA
74743,41751,11,NA,NA,NA,NA,NA
63524,25078,2600,NA,NA,NA,NA,NA
74744,41751,1260,NA,NA,NA,NA,NA
74745,41751,2238,NA,NA,NA,NA,NA
74746,41751,2459,NA,NA,NA,NA,NA
63529,25081,1226,NA,NA,NA,NA,NA
63530,25081,134,NA,NA,NA,NA,NA
63531,25081,207,NA,NA,NA,NA,NA
63536,25095,680,NA,NA,NA,NA,NA
63537,25112,921,NA,NA,NA,NA,NA
63538,25113,921,NA,NA,NA,NA,NA
63539,25112,643,NA,NA,NA,NA,NA
63540,25113,643,NA,NA,NA,NA,NA
63541,25113,36,NA,NA,NA,NA,NA
63542,25112,36,NA,NA,NA,NA,NA
62997,24344,123,NA,NA,NA,NA,NA
62998,24344,254,NA,NA,NA,NA,NA
62999,24344,245,NA,NA,NA,NA,NA
63000,24345,161,NA,NA,NA,NA,NA
63001,24345,198,NA,NA,NA,NA,NA
63002,24345,1217,NA,NA,NA,NA,NA
63003,24345,211,NA,NA,NA,NA,NA
63004,24345,120,NA,NA,NA,NA,NA
63005,24345,123,NA,NA,NA,NA,NA
63006,24345,254,NA,NA,NA,NA,NA
63007,24356,254,NA,NA,NA,NA,NA
601,130,853,NA,NA,NA,NA,NA
63008,24360,161,NA,NA,NA,NA,NA
63010,24363,213,NA,NA,NA,NA,NA
63011,24363,95,NA,NA,NA,NA,NA
63029,18465,2450,NA,NA,NA,NA,NA
63032,19249,97,NA,NA,NA,NA,NA
63033,19249,50,NA,NA,NA,NA,NA
83742,49977,2305,NA,NA,NA,NA,NA
63038,24382,2486,NA,NA,NA,NA,NA
63039,24386,213,NA,NA,NA,NA,NA
63040,24396,254,NA,NA,NA,NA,NA
63041,24401,213,NA,NA,NA,NA,NA
63042,24425,7,NA,NA,NA,NA,NA
60095,18498,2395,NA,NA,NA,NA,NA
60096,18498,1260,NA,NA,NA,NA,NA
60104,18557,2812,NA,NA,NA,NA,NA
60305,18876,2395,NA,NA,NA,NA,NA
60306,18876,1260,NA,NA,NA,NA,NA
60307,18876,38,NA,NA,NA,NA,NA
60594,19679,6,NA,NA,NA,NA,NA
59394,18257,122,NA,NA,NA,NA,NA
58904,17412,543,NA,NA,NA,NA,NA
59568,7806,186,NA,NA,NA,NA,NA
59569,7806,158,NA,NA,NA,NA,NA
60604,19730,865,NA,NA,NA,NA,NA
61169,21129,134,NA,NA,NA,NA,NA
631,140,656,NA,NA,NA,NA,NA
632,140,208,NA,NA,NA,NA,NA
633,140,244,NA,NA,NA,NA,NA
68313,21993,20,NA,NA,NA,NA,NA
68314,21993,2734,NA,NA,NA,NA,NA
68350,20994,2501,NA,NA,NA,NA,NA
60935,20448,2442,NA,NA,NA,NA,NA
68435,20337,1615,NA,NA,NA,NA,NA
68436,20337,87,NA,NA,NA,NA,NA
68501,18917,1217,NA,NA,NA,NA,NA
68502,18917,2083,NA,NA,NA,NA,NA
68503,18917,2246,NA,NA,NA,NA,NA
68504,18917,1894,NA,NA,NA,NA,NA
68505,18917,2247,NA,NA,NA,NA,NA
645,142,180,NA,NA,NA,NA,NA
646,142,1219,NA,NA,NA,NA,NA
647,142,1280,NA,NA,NA,NA,NA
68506,18917,1992,NA,NA,NA,NA,NA
63124,24491,1178,NA,NA,NA,NA,NA
63125,24491,2812,NA,NA,NA,NA,NA
63126,24496,104,NA,NA,NA,NA,NA
652,144,102,NA,NA,NA,NA,NA
653,144,862,NA,NA,NA,NA,NA
654,144,251,NA,NA,NA,NA,NA
655,144,186,NA,NA,NA,NA,NA
656,144,1182,NA,NA,NA,NA,NA
657,144,246,NA,NA,NA,NA,NA
658,144,180,NA,NA,NA,NA,NA
659,144,1219,NA,NA,NA,NA,NA
660,144,1220,NA,NA,NA,NA,NA
661,144,142,NA,NA,NA,NA,NA
662,144,1246,NA,NA,NA,NA,NA
63127,24496,155,NA,NA,NA,NA,NA
