id,created_at,updated_at,nombre
191,2013-03-19 18:39:37.692436,2013-03-19 18:39:37.692467,"Defensor del Pueblo, Jorge Armando Otálora"
192,2013-03-20 18:24:16.962460,2013-03-20 18:24:16.962501,"Presidente del Consejo Nacional Electoral, Carlos Ardila Ballesteros"
194,2013-04-04 16:06:52.781257,2013-04-04 16:06:52.781289,"Fiscal General de la Nación, Eduardo Montealegre Lynett"
195,2013-08-14 21:42:00.042643,2013-08-14 21:42:55.788931,"Presidenta Consejo Nacional Electoral, Nora Tapia Montoya"
197,2013-08-15 15:54:51.867177,2013-08-15 15:54:51.867226,"Wilson Ruiz Orejuela, Presidente Sala Jurisdiccional Disciplinaria Consejo Superior de la Judicatura"
196,2013-08-15 15:49:58.778342,2013-08-15 15:57:06.455631,"Pedro Sanabria Buitrago, Presidente Consejo Superior de la Judicatura"
198,2013-08-15 16:40:20.400690,2013-08-15 16:42:35.353271,"Edgar Carlos Sanabria Melo, Presidente Sala Administrativa Consejo Superior de la Judicatura"
201,2013-10-30 18:40:33.258646,2013-11-13 17:11:54.298214,"Ministro de Justicia y del Derecho, Alfonso Gómez Méndez"
199,2013-09-16 18:23:14.413008,2013-11-13 17:20:36.900772,"Ministro de Minas y Energía, Federico Renjifo Vélez"
193,2013-03-20 18:25:48.139124,2013-11-13 19:17:44.987078,"Vicepresidente del Consejo Nacional Electoral, Nora Tapia Montoya"
113,2011-01-31 21:33:37.653822,2013-11-13 19:27:30.223236,"Ministro de Trabajo y Seguridad Social, Hernando Yepes Arcila"
109,2011-01-25 18:44:35.019657,2013-11-13 19:30:17.972415,"Viceministro de Medio Ambiente, Luis Fernando Gaviria Trujillo"
202,2013-11-06 21:36:13.069119,2013-11-13 19:31:58.010705,"Ministro del Interior, Aurelio Iragorri Valencia"
200,2013-10-03 19:01:49.671845,2013-11-13 19:49:57.069769,"Ministro de Agricultura y Desarrollo Rural, Rubén Darío Lizarralde"
203,2014-04-02 11:30:35.106436,2014-04-02 11:30:35.106472,"Ministro de Vivienda, Luis Felipe Henao Cardona"
204,2014-05-16 13:58:26.889535,2014-05-16 13:58:26.889607,"Ministro de Comercio, Industria y Turismo, Santiago Rojas"
207,2014-08-12 11:20:21.172828,2014-08-12 11:20:21.172862,"Ministro de Trabajo, Luis Eduardo Garzón"
206,2014-08-12 11:18:30.014175,2014-08-12 11:19:01.748537,"Ministro de Ambiente y Desarrollo Sostenible, Gabriel Vallejo López"
208,2014-08-12 11:22:19.026899,2014-08-12 11:22:19.026940,"Ministro de Minas y Energía, Tomás González Estrada"
205,2014-08-12 11:14:31.953668,2014-08-12 11:24:50.778014,"Ministro del Interior, Juan Fernando Cristo Bustos"
209,2014-08-12 11:24:37.855194,2014-08-12 11:25:06.130060,"Ministro de Justicia y del Derecho, Yesid Reyes Alvarado"
210,2014-08-12 11:26:37.008941,2014-08-12 11:26:47.947209,"Ministra de Comercio, Industria y Turismo, Cecilia Álvarez-Correa Glen"
213,2014-08-12 11:30:42.349926,2014-08-12 11:35:54.522398,"Ministro de Agricultura y Desarrollo Rural, Aurelio Iragorri Valencia"
214,2014-08-12 11:38:39.176269,2014-08-12 11:38:39.176313,"Director Departamento Nacional de Planeación, DNP, Simón Gaviria"
212,2014-08-12 11:29:38.823572,2014-08-12 11:39:39.313079,"Ministra de Educación Nacional, Gina Parody"
216,2014-09-15 16:19:52.331950,2014-09-15 16:19:52.331986,"Viceministra de Relaciones Exteriores, Patty Londoño Jaramillo"
211,2014-08-12 11:28:21.163570,2014-11-20 20:25:38.627692,"Ministra de Transporte, Natalia Abello Vives"
217,2015-05-06 18:19:50.252387,2015-05-06 18:19:50.252452,"Presidente Consejo Nacional Electoral, Emiliano Rivera Bravo"
218,2015-08-12 14:04:28.126469,2015-08-12 14:04:28.126526,"Contralor General de la República, Edgardo Maya Villazón"
219,2015-08-20 17:01:05.638593,2015-08-20 17:01:57.747557,"Director de Coldeportes, Andrés Botero Phillipsbourne"
183,2012-09-19 16:32:48.252356,2015-08-25 20:35:32.773206,"Ministro de Hacienda y Crédito Público, Mauricio Cárdenas Santamaría"
220,2015-09-23 15:15:43.998336,2015-09-23 15:15:43.998366,"Ministro de Defensa Nacional, Luis Carlos Villegas Echeverry"
221,2016-04-19 15:40:03.190089,2016-04-19 15:40:03.190151,Fiscal General de la Nación (E): Jorge Fernando Perdomo Torres
222,2016-04-19 15:40:42.520729,2016-04-19 15:40:42.520791,Ministra de Justicia y del Derecho (E): Ana María Ramos Serrano
224,2016-07-29 15:16:19.951720,2016-07-29 15:16:51.478501,"Ministro de Minas y Energía, Germán Arce Zapata"
