id,numero_expediente,sentencia_id
1152,LAT079,1027
1153,D1296,1028
1154,D1327,1029
1155,D-1346,1030
1156,D1363,1031
1157,D1356,1032
1158,D1363,1033
1159,D1370,1034
1160,D1375,1035
1161,D1377,1036
1162,D1357,1037
1163,LAT075,1038
1164,D1312,1039
1165,D1311,1040
1166,D-1320,1041
1167,D1335,1042
1168,D1348,1043
1169,D1352,1044
1170,D1374,1045
1171,D1353,1046
1172,D1365,1047
1173,D1385,1048
1174,OP011,1049
1175,D1337,1050
1176,D1292,1051
1177,D-1379,1052
1178,LAT074,1053
1179,D1323,1054
1180,D1329,1055
1181,D1333,1056
1182,D1334,1057
1183,D1336,1058
1184,D1359,1058
1185,D1343,1059
1186,D1373,1060
1187,D1382,1061
1188,OP013,1062
1189,OP-012,1063
1190,LAT077,1064
1191,D1345,1065
1192,D1344,1065
1193,D1331,1066
1194,D1380,1067
1195,D1383,1068
1196,D1386,1069
1197,D1369,1070
1198,LAT076,1071
1199,D1393,1072
1200,D1350,1073
1201,D-1366,1074
1202,D1390,1075
1203,D1397,1076
1204,D1401,1077
1205,D1384,1078
1206,D1367,1079
1207,D1387,1080
1208,D1388,1081
1209,D1392,1082
1210,D1394,1083
1211,D1404,1084
1212,D-1400,1085
1213,D1381,1086
1214,D1389,1087
1215,D1391,1088
1216,D1410,1089
1217,D1396,1090
1218,D1399,1091
1219,D1403,1092
1220,D1405,1093
1221,D1412,1094
1222,D1411,1095
1223,LAT-087,1096
1224,D1413,1097
1225,D1414,1098
1226,D1418,1099
1227,D1419,1100
1228,D1424,1101
1229,D1426,1102
1230,D1435,1103
1231,RE087,1104
1232,RE088,1105
1233,RE089,1106
1234,RE-090,1107
1235,RE091,1108
1236,RE092,1109
1237,RE093,1110
1238,RE094,1111
1239,RE095,1112
1240,RE096,1113
1241,RE097,1114
1242,RE099,1115
1243,RE100,1116
1244,RE102,1117
1245,LAT-080,1118
1246,LAT081,1119
1247,LAT082,1120
1248,LAT083,1121
1249,LAT084,1122
1250,LAT086,1123
1251,LAT088,1124
1252,D1351,1125
1253,D1389,1126
1254,D1407,1127
1255,D1415,1128
1256,D-1417,1129
1257,D1420,1130
1258,D1429,1131
1259,D1430,1132
1260,D1431,1133
1261,D1432,1133
1262,D1433,1134
1263,D1434,1135
1264,D1439,1136
1265,D1443,1137
1266,LAT085,1138
1267,LAT089,1139
1268,D-1479,1140
1269,D1436,1141
1270,D1446,1142
1271,D1450,1143
1272,D1461,1144
1273,D1462,1144
1274,D1463,1144
1275,D1464,1144
1276,D1469,1145
1277,D1481,1146
1278,D1494,1147
1279,RE098,1148
1280,RE101,1149
1281,D1437,1150
1282,D-1421,1151
1283,D1428,1152
1284,D1452,1153
1285,D1459,1154
1286,D1471,1155
1287,D1438,1156
1288,D1440,1157
1289,D1442,1158
1290,D1466,1159
1291,D1472,1160
1292,D1475,1161
1293,LAT-090,1162
1294,D1444,1163
1295,D1470,1164
1296,D1458,1165
1297,D1465,1166
1298,D1467,1167
1299,LAT093,1168
1300,D1485,1169
1301,D1488,1170
