id,control_politico_id,persona_id
61665,22488,93
61666,22493,46
61695,22503,809
61696,22503,50
61697,22503,99
61893,22067,2538
61895,21997,2480
61896,21997,2499
61897,21997,1956
61898,21997,873
61899,21997,2450
61900,21997,656
61901,21997,1202
61902,21997,2516
61903,21997,2039
61904,21997,1912
61905,21997,2521
61906,21997,1950
61913,22595,1714
61914,21990,832
61915,21990,2842
61916,21990,2452
61917,21990,566
61920,22098,763
61921,22098,1055
61922,22080,668
61923,22080,1486
61354,21551,2233
61355,21563,201
61356,21563,398
61357,21563,113
61358,21563,213
61359,21563,120
61360,21563,1178
61361,21564,197
61362,21564,198
61363,21564,201
61364,21564,1264
61365,21564,2485
61366,21564,120
61367,21572,198
61368,21576,198
61369,21039,2083
61370,21039,2491
61371,21039,2517
74588,41704,1219
74589,41704,862
74752,41702,2080
74753,41702,2535
74754,41702,2506
74755,41702,1646
74756,41702,2455
74757,41702,792
61386,20998,2533
61389,20986,9
61393,21591,2225
61394,21591,211
61395,21591,260
61396,21591,245
61397,21591,398
61398,21593,201
61399,12033,254
61408,21606,1266
61409,21627,1245
61412,21633,247
61413,21639,247
61414,21643,1248
61415,21643,53
61416,21681,1266
61417,21413,1188
61418,21413,862
61419,185,164
61420,21589,201
61421,21587,211
61424,21727,186
61425,21731,186
61426,21736,843
61436,21755,1266
61452,21866,928
61453,21866,186
61458,21595,92
61459,21595,2238
61460,21427,896
61461,21494,9
61462,21497,20
61463,21504,77
61464,21504,39
61468,21539,2442
61472,21891,296
61473,21891,257
61474,21891,1202
61499,21894,152
61500,21894,296
61501,21894,1201
61502,21894,257
61503,21915,152
61504,21915,296
61505,21915,1201
61506,21915,257
61507,21939,53
61508,21947,14
61569,21858,1714
87910,56745,875
61581,21863,211
87917,56820,192
87918,56820,2448
87919,56820,8183
87920,56820,7739
87921,56820,7356
61591,22109,33
61592,22110,1248
61593,22110,53
61594,22204,61
61595,22204,46
61596,22205,668
61598,22253,33
61599,22253,42
61600,22253,87
61601,22265,8
61602,22265,26
61603,22304,96
59408,18271,87
59578,7380,153
59579,7380,123
59580,7380,127
59626,9505,2600
59658,7145,209
59956,7317,181
74161,39390,256
74162,39390,1956
74163,39390,1640
74164,39390,873
74165,39390,2450
74166,39390,2480
74167,39390,1201
74168,39390,1202
74169,39390,2516
60616,10069,865
60617,10069,1186
60618,10069,165
60619,10069,904
60620,10069,194
60621,10069,209
60622,10069,181
60623,10069,214
60624,10069,472
60625,10069,251
60626,10069,157
60627,10069,853
74170,39390,2521
62404,1535,1248
62405,1535,1257
62406,1535,77
62407,1535,47
62408,1535,16
62409,1535,18
62410,1535,86
62411,1535,511
62412,1535,1278
62413,1535,95
61604,22304,8
61605,22304,13
61606,22304,879
61607,22304,26
61608,22304,28
61609,22304,29
61610,22309,8
61611,22314,96
61612,22314,8
61613,22314,13
61614,22314,879
61615,22314,26
61616,22314,28
61617,22314,29
61618,22318,896
61619,22318,8
61620,22318,41
61621,22318,29
61622,22318,58
61623,22318,90
61624,22207,46
61625,22388,46
61626,22389,668
61627,22390,46
61636,22428,88
61637,22428,66
61638,22428,763
61639,22428,1055
61640,21316,1188
61641,21316,862
61642,12391,142
54972,5088,59
54973,5557,61
54974,5749,77
56833,7441,129
56834,7441,1170
56835,7441,259
56836,7441,1222
58712,16919,20
58892,17393,130
58893,17393,2107
58894,17393,922
60590,19662,259
54984,5954,36
54985,5957,763
54986,5961,9
58895,17393,1166
54988,6090,242
54989,6090,1187
54990,6090,182
54991,6099,1202
57720,11761,8
54993,6122,1266
54994,6137,519
54995,6137,12
54996,6137,77
54997,6137,49
54998,6137,23
54999,6137,1278
55000,6138,77
55001,6138,95
68317,21867,547
68318,21867,1229
68354,21143,145
68355,21143,50
68356,21143,1180
68357,21143,101
68440,19810,2448
68522,18485,1714
55010,6140,21
55011,6141,16
55012,6166,9
55013,6166,18
55014,6166,505
55015,6189,8
55016,6209,4
55017,6253,16
55018,6253,40
55019,6253,6
55020,6253,96
57920,13107,679
57921,13107,10
57922,13107,11
57923,13107,1260
57924,13107,817
57925,13107,87
55027,6288,519
55028,6288,38
55029,6288,55
61247,21332,1615
61249,21333,2761
55049,6376,10
55050,6376,511
55051,6376,29
55052,6376,879
55053,6394,643
55054,6394,38
55055,6394,40
55056,6394,9
55057,6394,906
55058,6394,75
55059,6394,28
55060,6394,879
55061,6394,505
55062,6394,25
55063,6394,41
55064,6394,55
55065,6394,921
55066,6394,92
55067,6394,62
55068,6394,309
57926,13107,25
58896,17393,311
55071,6396,1248
55072,6396,97
55073,6396,834
55074,6396,100
55075,6396,934
55076,6396,968
55077,6396,96
55078,6396,11
55079,6396,47
55080,6396,50
55081,6396,1277
55082,6396,565
55083,6396,809
55084,6396,505
55085,6396,87
55086,6396,399
55087,6396,93
55088,6395,189
55089,6395,182
55090,6399,9
55091,6400,921
55092,6400,643
55093,6400,36
55094,6400,77
55095,6412,14
55098,6462,921
55099,6462,36
55100,6462,77
55101,6471,53
55102,6471,1255
55103,6254,186
61262,21317,928
61263,21317,1188
61264,21317,212
61265,21317,205
61278,21343,33
61279,21343,933
61280,21343,519
61281,21343,41
61282,21343,10
61283,21343,112
61284,21343,169
58264,14926,1178
58265,14926,254
58553,15260,162
55130,6514,38
61285,21343,2458
68523,18485,35
68524,18485,60
68591,18159,189
68623,26414,59
60628,2699,1260
74171,39390,1950
59581,7617,1184
59582,7617,512
59583,7617,175
59584,7617,1208
59585,7617,211
59586,7617,248
59587,7617,111
59659,7600,212
60861,20298,2497
60862,20298,107
60863,20298,2084
