id,created_at,updated_at,persona_id,fecha
613,2010-02-17 21:40:12.419696,2010-02-17 21:40:12.419719,2092,2009-08-04
614,2010-02-17 21:40:12.420539,2010-02-17 21:40:12.420561,2092,2003-06-16
615,2010-02-17 21:40:12.421368,2010-02-17 21:40:12.421396,2092,2002-06-01
616,2010-02-17 21:40:12.422215,2010-02-17 21:40:12.422236,2092,2001-01-04
617,2010-02-18 18:14:41.182824,2010-02-18 18:14:41.182871,1058,1999-01-01
618,2010-02-21 03:35:52.577331,2010-02-21 03:35:52.577355,1742,NA
619,2010-02-21 03:35:52.780967,2010-02-21 03:35:52.781019,1742,NA
620,2010-02-21 03:35:52.781967,2010-02-21 03:35:52.781989,1742,NA
621,2010-02-21 04:04:39.048831,2010-02-21 04:04:39.048876,1336,NA
622,2010-02-21 04:25:47.056764,2010-02-21 04:25:47.056792,1342,NA
623,2010-02-21 04:25:47.091453,2010-02-21 04:25:47.091476,1342,NA
624,2010-02-21 17:30:34.751053,2010-02-21 17:30:34.751097,2268,2006-06-06
625,2010-02-21 23:16:28.330093,2010-02-21 23:16:28.330137,1455,NA
626,2010-02-21 23:16:28.337062,2010-02-21 23:16:28.337085,1455,NA
627,2010-02-21 23:29:49.080178,2010-02-21 23:29:49.080208,1339,NA
628,2010-02-21 23:29:49.081418,2010-02-21 23:29:49.081439,1339,NA
629,2010-02-21 23:29:49.082187,2010-02-21 23:29:49.082208,1339,NA
630,2010-02-21 23:29:49.082965,2010-02-21 23:29:49.082986,1339,NA
631,2010-02-21 23:47:13.295092,2010-02-21 23:47:13.295123,1347,NA
632,2010-02-22 00:00:28.797000,2010-02-22 00:00:28.797029,1566,NA
633,2010-02-22 00:15:49.570622,2010-02-22 00:15:49.570659,1340,NA
634,2010-02-22 00:15:49.571953,2010-02-22 00:15:49.571977,1340,NA
635,2010-02-22 00:27:41.994146,2010-02-22 00:27:41.994176,1341,NA
636,2010-02-22 00:27:41.995405,2010-02-22 00:27:41.995426,1341,NA
642,2010-02-22 00:59:17.995854,2010-02-22 00:59:17.995878,1338,NA
637,2010-02-22 00:35:59.391967,2010-02-22 00:35:59.391994,1337,NA
638,2010-02-22 00:35:59.407296,2010-02-22 00:35:59.407317,1337,NA
639,2010-02-22 00:35:59.408077,2010-02-22 00:35:59.408098,1337,NA
640,2010-02-22 00:49:30.033587,2010-02-22 00:49:30.033610,1344,NA
641,2010-02-22 00:49:30.034752,2010-02-22 00:49:30.034773,1344,NA
643,2010-02-22 00:59:17.996865,2010-02-22 00:59:17.996886,1338,NA
644,2010-02-22 01:00:23.786727,2010-02-22 01:00:23.786780,1338,NA
645,2010-02-22 01:00:23.788026,2010-02-22 01:00:23.788048,1338,NA
646,2010-02-22 01:00:32.314614,2010-02-22 01:00:32.314667,1338,NA
647,2010-02-22 01:00:32.315979,2010-02-22 01:00:32.316000,1338,NA
648,2010-02-22 21:35:07.488396,2010-02-22 21:35:07.488438,286,2008-09-15
649,2010-02-22 21:35:07.524992,2010-02-22 21:35:07.525027,286,2008-01-07
650,2010-02-22 21:35:07.525955,2010-02-22 21:35:07.525976,286,2007-05-14
651,2010-02-22 21:35:07.526829,2010-02-22 21:35:07.526850,286,2004-10-04
652,2010-02-23 02:18:14.324114,2010-02-23 02:18:14.324138,2263,NA
653,2010-02-24 17:56:06.477920,2010-02-24 17:56:06.477966,2322,NA
654,2010-02-24 17:56:06.508209,2010-02-24 17:56:06.508260,2322,NA
655,2010-02-24 17:56:06.509183,2010-02-24 17:56:06.509204,2322,NA
656,2010-02-26 21:48:19.293246,2010-02-26 21:48:19.293277,1378,NA
657,2010-02-26 21:48:19.410226,2010-02-26 21:48:19.410257,1378,NA
658,2010-02-28 05:53:18.349122,2010-02-28 05:53:18.349159,2345,2007-02-03
659,2010-02-28 05:53:18.367370,2010-02-28 05:53:18.367423,2345,2002-01-15
660,2010-02-28 05:53:18.375155,2010-02-28 05:53:18.375179,2345,2009-06-15
661,2010-03-01 19:26:47.283083,2010-03-01 19:26:47.283112,2361,NA
662,2010-03-01 19:26:47.284308,2010-03-01 19:26:47.284329,2361,NA
663,2010-03-01 19:26:47.285074,2010-03-01 19:26:47.285096,2361,NA
664,2010-03-03 01:21:52.645398,2010-03-03 01:21:52.645425,2305,1998-01-01
665,2010-03-03 01:21:52.688742,2010-03-03 01:21:52.688771,2305,1999-01-01
666,2010-03-03 01:35:03.025133,2010-03-03 01:35:03.025162,2305,1998-12-01
