id,created_at,edited_at,fecha_hora,persona_id,tipo_id,texto,content_type_id,object_id,periodo_id
120,2010-03-25 20:23:19.227577,2010-03-25 20:23:19.227603,2010-03-25 20:23:19.227618,543,3,NA,55,61289,NA
121,2010-03-25 20:23:19.249993,2010-03-25 20:23:19.250023,2010-03-25 20:23:19.250038,547,3,NA,55,61290,NA
122,2010-03-25 20:23:19.278637,2010-03-25 20:23:19.278657,2010-03-25 20:23:19.278672,152,3,NA,55,61291,NA
123,2010-03-25 20:23:19.347491,2010-03-25 20:23:19.347510,2010-03-25 20:23:19.347525,556,3,NA,55,61292,NA
124,2010-03-25 20:23:19.367103,2010-03-25 20:23:19.367123,2010-03-25 20:23:19.367138,1191,3,NA,55,61293,NA
125,2010-03-25 20:23:19.389476,2010-03-25 20:23:19.389499,2010-03-25 20:23:19.389514,1279,3,NA,55,61294,NA
126,2010-03-25 20:23:19.412281,2010-03-25 20:23:19.412302,2010-03-25 20:23:19.412318,153,3,NA,55,61295,NA
127,2010-03-25 20:23:19.435672,2010-03-25 20:23:19.435692,2010-03-25 20:23:19.435707,155,3,NA,55,61296,NA
128,2010-03-25 20:23:19.503443,2010-03-25 20:23:19.503464,2010-03-25 20:23:19.503479,1219,3,NA,55,61297,NA
129,2010-03-25 20:23:19.528087,2010-03-25 20:23:19.528130,2010-03-25 20:23:19.528146,569,3,NA,55,61298,NA
130,2010-03-25 20:23:19.550917,2010-03-25 20:23:19.550943,2010-03-25 20:23:19.550959,1205,3,NA,55,61299,NA
131,2010-03-25 20:23:19.571991,2010-03-25 20:23:19.572013,2010-03-25 20:23:19.572028,157,3,NA,55,61300,NA
132,2010-03-25 20:23:19.594195,2010-03-25 20:23:19.594217,2010-03-25 20:23:19.594232,161,3,NA,55,61301,NA
133,2010-03-25 20:23:19.620291,2010-03-25 20:23:19.620311,2010-03-25 20:23:19.620326,162,3,NA,55,61302,NA
134,2010-03-25 20:23:19.656553,2010-03-25 20:23:19.656572,2010-03-25 20:23:19.656587,163,3,NA,55,61303,NA
135,2010-03-25 20:23:19.702370,2010-03-25 20:23:19.702392,2010-03-25 20:23:19.702407,164,3,NA,55,61304,NA
136,2010-03-25 20:23:19.736397,2010-03-25 20:23:19.736420,2010-03-25 20:23:19.736435,165,3,NA,55,61305,NA
137,2010-03-25 20:23:19.759528,2010-03-25 20:23:19.759556,2010-03-25 20:23:19.759571,166,3,NA,55,61306,NA
138,2010-03-25 20:23:19.828921,2010-03-25 20:23:19.828948,2010-03-25 20:23:19.828963,151,3,NA,55,61307,NA
139,2010-03-25 20:23:19.923602,2010-03-25 20:23:19.923631,2010-03-25 20:23:19.923647,158,3,NA,55,61308,NA
140,2010-03-25 20:23:19.993647,2010-03-25 20:23:19.993667,2010-03-25 20:23:19.993684,159,3,NA,55,61309,NA
141,2010-03-25 20:23:20.073266,2010-03-25 20:23:20.073305,2010-03-25 20:23:20.073321,160,3,NA,55,61310,NA
142,2010-03-25 20:23:20.096025,2010-03-25 20:23:20.096047,2010-03-25 20:23:20.096062,1295,3,NA,55,61311,NA
143,2010-03-25 20:23:20.119977,2010-03-25 20:23:20.120005,2010-03-25 20:23:20.120021,1062,3,NA,55,61312,NA
144,2010-03-25 20:23:20.143667,2010-03-25 20:23:20.143691,2010-03-25 20:23:20.143707,1192,3,NA,55,61313,NA
145,2010-03-25 20:23:20.217335,2010-03-25 20:23:20.217357,2010-03-25 20:23:20.217372,627,3,NA,55,61314,NA
146,2010-03-25 20:23:20.241297,2010-03-25 20:23:20.241333,2010-03-25 20:23:20.241348,1180,3,NA,55,61315,NA
147,2010-03-25 20:23:20.263233,2010-03-25 20:23:20.263256,2010-03-25 20:23:20.263271,169,3,NA,55,61316,NA
148,2010-03-25 20:23:20.284634,2010-03-25 20:23:20.284678,2010-03-25 20:23:20.284694,1170,3,NA,55,61317,NA
149,2010-03-25 20:23:20.308966,2010-03-25 20:23:20.308988,2010-03-25 20:23:20.309003,171,3,NA,55,61318,NA
150,2010-03-25 20:23:20.329792,2010-03-25 20:23:20.329834,2010-03-25 20:23:20.329850,172,3,NA,55,61319,NA
151,2010-03-25 20:23:20.350607,2010-03-25 20:23:20.350637,2010-03-25 20:23:20.350652,646,3,NA,55,61320,NA
152,2010-03-25 20:23:20.375370,2010-03-25 20:23:20.375397,2010-03-25 20:23:20.375412,1262,3,NA,55,61321,NA
153,2010-03-25 20:23:20.447312,2010-03-25 20:23:20.447334,2010-03-25 20:23:20.447349,1282,3,NA,55,61322,NA
154,2010-03-25 20:23:20.493340,2010-03-25 20:23:20.493361,2010-03-25 20:23:20.493376,1188,3,NA,55,61323,NA
155,2010-03-25 20:23:20.519607,2010-03-25 20:23:20.519645,2010-03-25 20:23:20.519661,175,3,NA,55,61324,NA
156,2010-03-25 20:23:20.543187,2010-03-25 20:23:20.543210,2010-03-25 20:23:20.543225,656,3,NA,55,61325,NA
157,2010-03-25 20:23:20.585785,2010-03-25 20:23:20.585807,2010-03-25 20:23:20.585822,1283,3,NA,55,61326,NA
158,2010-03-25 20:23:20.605814,2010-03-25 20:23:20.605837,2010-03-25 20:23:20.605852,1296,3,NA,55,61327,NA
159,2010-03-25 20:23:20.628401,2010-03-25 20:23:20.628423,2010-03-25 20:23:20.628438,1190,3,NA,55,61328,NA
160,2010-03-25 20:23:20.656185,2010-03-25 20:23:20.656225,2010-03-25 20:23:20.656241,1168,3,NA,55,61329,NA
161,2010-03-25 20:23:20.715864,2010-03-25 20:23:20.715885,2010-03-25 20:23:20.715900,180,3,NA,55,61330,NA
162,2010-03-25 20:23:20.739195,2010-03-25 20:23:20.739219,2010-03-25 20:23:20.739235,178,3,NA,55,61331,NA
163,2010-03-25 20:23:20.767629,2010-03-25 20:23:20.767667,2010-03-25 20:23:20.767683,181,3,NA,55,61332,NA
164,2010-03-25 20:23:20.791719,2010-03-25 20:23:20.791741,2010-03-25 20:23:20.791756,183,3,NA,55,61333,NA
165,2010-03-25 20:23:20.838585,2010-03-25 20:23:20.838617,2010-03-25 20:23:20.838632,182,3,NA,55,61334,NA
166,2010-03-25 20:23:20.865109,2010-03-25 20:23:20.865153,2010-03-25 20:23:20.865169,1173,3,NA,55,61335,NA
167,2010-03-25 20:23:20.889563,2010-03-25 20:23:20.889587,2010-03-25 20:23:20.889602,1264,3,NA,55,61336,NA
168,2010-03-25 20:23:20.912334,2010-03-25 20:23:20.912356,2010-03-25 20:23:20.912371,186,3,NA,55,61337,NA
169,2010-03-25 20:23:20.977539,2010-03-25 20:23:20.977578,2010-03-25 20:23:20.977594,1196,3,NA,55,61338,NA
170,2010-03-25 20:23:21.041289,2010-03-25 20:23:21.041328,2010-03-25 20:23:21.041344,1239,3,NA,55,61339,NA
171,2010-03-25 20:23:21.064758,2010-03-25 20:23:21.064778,2010-03-25 20:23:21.064794,1200,3,NA,55,61340,NA
172,2010-03-25 20:23:21.088990,2010-03-25 20:23:21.089011,2010-03-25 20:23:21.089026,1186,3,NA,55,61341,NA
173,2010-03-25 20:23:21.112765,2010-03-25 20:23:21.112785,2010-03-25 20:23:21.112800,189,3,NA,55,61342,NA
174,2010-03-25 20:23:21.144882,2010-03-25 20:23:21.144902,2010-03-25 20:23:21.144917,1202,3,NA,55,61343,NA
175,2010-03-25 20:23:21.168168,2010-03-25 20:23:21.168188,2010-03-25 20:23:21.168203,192,3,NA,55,61344,NA
176,2010-03-25 20:23:21.298674,2010-03-25 20:23:21.298693,2010-03-25 20:23:21.298708,193,3,NA,55,61345,NA
177,2010-03-25 20:23:21.322377,2010-03-25 20:23:21.322397,2010-03-25 20:23:21.322412,1280,3,NA,55,61346,NA
178,2010-03-25 20:23:21.345130,2010-03-25 20:23:21.345149,2010-03-25 20:23:21.345164,190,3,NA,55,61347,NA
179,2010-03-25 20:23:21.368698,2010-03-25 20:23:21.368718,2010-03-25 20:23:21.368733,296,3,NA,55,61348,NA
180,2010-03-25 20:23:21.406307,2010-03-25 20:23:21.406326,2010-03-25 20:23:21.406341,194,3,NA,55,61349,NA
181,2010-03-25 20:23:21.429872,2010-03-25 20:23:21.429892,2010-03-25 20:23:21.429907,196,3,NA,55,61350,NA
182,2010-03-25 20:23:21.453763,2010-03-25 20:23:21.453782,2010-03-25 20:23:21.453797,768,3,NA,55,61351,NA
183,2010-03-25 20:23:21.477374,2010-03-25 20:23:21.477393,2010-03-25 20:23:21.477408,197,3,NA,55,61352,NA
184,2010-03-25 20:23:21.544323,2010-03-25 20:23:21.544342,2010-03-25 20:23:21.544357,781,3,NA,55,61353,NA
185,2010-03-25 20:23:21.602122,2010-03-25 20:23:21.602143,2010-03-25 20:23:21.602158,198,3,NA,55,61354,NA
186,2010-03-25 20:23:21.622294,2010-03-25 20:23:21.622314,2010-03-25 20:23:21.622329,200,3,NA,55,61355,NA
187,2010-03-25 20:23:21.641797,2010-03-25 20:23:21.641817,2010-03-25 20:23:21.641838,201,3,NA,55,61356,NA
188,2010-03-25 20:23:21.669630,2010-03-25 20:23:21.669649,2010-03-25 20:23:21.669664,791,3,NA,55,61357,NA
189,2010-03-25 20:23:21.707524,2010-03-25 20:23:21.707553,2010-03-25 20:23:21.707568,1172,3,NA,55,61358,NA
190,2010-03-25 20:23:21.732021,2010-03-25 20:23:21.732044,2010-03-25 20:23:21.732060,1201,3,NA,55,61359,NA
191,2010-03-25 20:23:21.757075,2010-03-25 20:23:21.757103,2010-03-25 20:23:21.757119,798,3,NA,55,61360,NA
192,2010-03-25 20:23:21.781669,2010-03-25 20:23:21.781691,2010-03-25 20:23:21.781707,205,3,NA,55,61361,NA
193,2010-03-25 20:23:21.814414,2010-03-25 20:23:21.814441,2010-03-25 20:23:21.814456,1222,3,NA,55,61362,NA
194,2010-03-25 20:23:21.840604,2010-03-25 20:23:21.840638,2010-03-25 20:23:21.840654,206,3,NA,55,61363,NA
195,2010-03-25 20:23:21.892464,2010-03-25 20:23:21.892493,2010-03-25 20:23:21.892509,208,3,NA,55,61364,NA
196,2010-03-25 20:23:21.915477,2010-03-25 20:23:21.915503,2010-03-25 20:23:21.915518,209,3,NA,55,61365,NA
197,2010-03-25 20:23:21.940605,2010-03-25 20:23:21.940645,2010-03-25 20:23:21.940661,210,3,NA,55,61366,NA
198,2010-03-25 20:23:21.964071,2010-03-25 20:23:21.964092,2010-03-25 20:23:21.964108,211,3,NA,55,61367,NA
199,2010-03-25 20:23:22.021877,2010-03-25 20:23:22.021899,2010-03-25 20:23:22.021915,212,3,NA,55,61368,NA
200,2010-03-25 20:23:22.071312,2010-03-25 20:23:22.071334,2010-03-25 20:23:22.071350,213,3,NA,55,61369,NA
201,2010-03-25 20:23:22.090369,2010-03-25 20:23:22.090389,2010-03-25 20:23:22.090404,214,3,NA,55,61370,NA
202,2010-03-25 20:23:22.109910,2010-03-25 20:23:22.109930,2010-03-25 20:23:22.109945,207,3,NA,55,61371,NA
203,2010-03-25 20:23:22.132657,2010-03-25 20:23:22.132677,2010-03-25 20:23:22.132692,148,3,NA,55,61372,NA
204,2010-03-25 20:23:22.152837,2010-03-25 20:23:22.152871,2010-03-25 20:23:22.152886,832,3,NA,55,61373,NA
205,2010-03-25 20:23:22.268340,2010-03-25 20:23:22.268359,2010-03-25 20:23:22.268374,836,3,NA,55,61374,NA
206,2010-03-25 20:23:22.289803,2010-03-25 20:23:22.289823,2010-03-25 20:23:22.289838,843,3,NA,55,61375,NA
207,2010-03-25 20:23:22.311561,2010-03-25 20:23:22.311580,2010-03-25 20:23:22.311596,1281,3,NA,55,61376,NA
208,2010-03-25 20:23:22.350669,2010-03-25 20:23:22.350688,2010-03-25 20:23:22.350703,853,3,NA,55,61377,NA
209,2010-03-25 20:23:22.391405,2010-03-25 20:23:22.391426,2010-03-25 20:23:22.391441,1226,3,NA,55,61378,NA
210,2010-03-25 20:23:22.410196,2010-03-25 20:23:22.410215,2010-03-25 20:23:22.410230,1176,3,NA,55,61379,NA
211,2010-03-25 20:23:22.429778,2010-03-25 20:23:22.429797,2010-03-25 20:23:22.429812,1182,3,NA,55,61380,NA
212,2010-03-25 20:23:22.451140,2010-03-25 20:23:22.451159,2010-03-25 20:23:22.451175,1181,3,NA,55,61381,NA
213,2010-03-25 20:23:22.510937,2010-03-25 20:23:22.510959,2010-03-25 20:23:22.510974,1187,3,NA,55,61382,NA
