id,titulo,texto,img,activo,orden,link
279,La violación al derecho a la salud es una de las expresiones más graves de la crisis carcelaria,"Ministros de Justicia y de Salud, Director del Inpec y Directora de Caprecom, tendrán que explicar qué medidas se han emprendido para solucionar la crisis",uploads/imgs/personas/CP_salud_cárceles.jpg,FALSE,26,http://congresovisible.org/agora/post/siga-en-vivo-las-discusiones-del-congreso-de-la-republica-canal-institucional/1680/
299,La moción de censura en Colombia: evento poco probable,Tres factores que explican por qué en el Congreso colombiano las mociones de censura no han sido exitosas,uploads/imgs/personas/mocion-censura-articulo-razon_publica.jpg,FALSE,10,http://bit.ly/1aaj3c6
275,"""En Colombia somos 120 grupos indígenas que deberíamos tener representación en el Congreso"": sen. Avirama",CV entrevistó al senador del Partido Alianza Social Independiente a propósito de su papel en el Congreso como uno de los representantes de las minorías,uploads/imgs/personas/Banner_entrevista_Avirama.jpg,FALSE,32,http://congresovisible.org/agora/post/en-colombia-somos-120-grupos-indigenas-que-deberiamos-tener-representacion-en-el-congreso/5102/
292,"Pocas reglas, muchos ‘micos’",Lo sucedido con la Reforma a la Justicia nos lleva a analizar sobre la importancia de las comisiones de conciliación dentro del proceso legislativo y lo que poco que se sabe sobre su funcionamiento,uploads/imgs/personas/articulo_comisiones_conciliacion.jpg,FALSE,11,http://bit.ly/18bmzEv
171,Buscador de proyectos de Ley - El Espectador,Conoce los pormenores de las iniciativas que cada día se discuten en el Congreso de la República en la sección Política del Espectador.com,uploads/imgs/personas/Buscador_EE.jpg,FALSE,63,http://bit.ly/LNS78Z
30,No se pierda el Foro Las Caras del Senado,"A través de nuestro Twitter (@congresovisible), podrá seguir desde las 5 pm todo lo que ocurra en este evento sobre la comprensión y evaluación de la labor legislativa de los congresistas y también del oficio de los periodistas políticos.",uploads/imgs/personas/Banner_5_caras_.jpg,FALSE,236,http://bit.ly/hJCD74
23,¿Cómo van los TLC de Colombia con el mundo?,"Para responder esta pregunta, la Comisión II de Cámara citó este martes a las 10:00 a.m. a los ministros de Comercio, Industria y Turismo, Sergio Díazgranados Guida, y de Agricultura y Desarrollo Rural, Juan Camilo Restrepo.",uploads/imgs/personas/Comercio.jpg,FALSE,242,http://bit.ly/ggXxWl
249,Cátedra Congreso - Universidad: Presupuesto Nacional 2013,"Este martes, expertos y congresistas discutirán sobre los recursos que se establecieron para la vigencia del próximo año.",uploads/imgs/personas/Banner_ForoP2013.jpg,FALSE,48,http://bit.ly/XCpunx
286,Inadecuada División del Trabajo: Una realidad del Congreso colombiano,Los congresistas de las comisiones primeras cuentan con los mayores índices de favorabilidad. ¿Se desempeñan mejor que los miembros de las otras comisiones?,uploads/imgs/personas/Artículo_DivisionTrabajoComisiones.jpg,FALSE,17,http://bit.ly/12hiQjX
285,Tercera legislatura de Santos: Avances en medio del desgaste de la Coalición de Unidad Nacional,"Menor tasa de sanción de proyectos estratégicos para Santos, más control político y menos cohesión de la bancada oficialista",uploads/imgs/personas/Balance_3a_legislatura_RazonPublica.jpg,FALSE,18,http://bit.ly/12bJB9o
