id,proyecto_ley_estado_id,comision_id
1747,12103,3
1748,10523,8
1749,20942,3
1750,20644,8
1751,12498,3
1752,12081,3
1753,12604,3
1754,12128,3
1755,12304,3
1756,12210,4
1757,12970,14
1758,10665,4
1759,10657,4
1760,10667,7
1761,10681,7
1762,10687,4
1763,10707,2
1764,10676,7
1765,11005,11
1767,12569,8
1768,20936,1
1769,21139,8
1770,11281,14
1771,13060,12
1772,21207,14
1773,11195,6
1774,13151,4
1775,9264,7
1776,12068,14
1777,13272,4
1778,12164,12
1779,13181,7
1780,29448,4
1781,10658,4
1782,20016,4
1783,10418,7
1784,10487,14
1785,10384,2
1787,11636,6
1789,10472,7
1790,10279,11
1791,10907,11
1792,28384,11
1793,10795,11
1794,10799,11
1795,11497,11
1796,10157,10
1797,10497,10
1798,9432,10
1799,10329,10
1800,12205,10
1801,9436,10
1802,10481,4
1803,10481,11
1804,9658,7
1805,21278,2
1806,11328,14
1807,21691,2
1808,10468,7
1809,10439,1
1810,11196,2
1811,10429,7
1812,10511,7
1813,10444,7
1814,8832,5
1815,9925,1
1816,11809,12
1818,9323,7
1819,9644,7
1820,10506,7
1821,10141,6
1822,10358,6
1823,10518,12
1824,10518,13
1825,10518,10
1826,10518,8
1827,13177,1
1828,9805,1
1829,10455,1
1830,11215,1
1831,9916,1
1832,9995,7
1833,9995,1
1834,9806,1
1835,8943,2
1836,9709,5
1837,9992,2
1838,9838,8
1839,20020,4
1840,10557,4
1841,10790,11
1842,12229,11
1843,12041,11
1844,9635,3
1845,12581,14
1846,9703,14
1847,9783,11
1848,11247,14
1849,9641,3
1850,9787,3
1851,11703,3
1852,9489,1
1853,9511,1
1854,20793,8
1855,20748,8
1856,9773,12
1857,20720,8
1858,9961,1
1859,9970,1
1860,9251,1
1861,10208,7
1862,10582,7
1863,8107,7
1864,21363,2
1865,9485,12
1866,9985,2
1867,12108,12
1868,9763,12
1869,9851,12
1870,10102,11
1871,10212,6
1872,11714,2
1873,9509,6
1874,9848,7
1875,20652,7
1876,9721,4
1877,28222,7
1878,9921,3
1879,12015,3
1880,9950,7
1881,10002,13
1882,10398,4
1883,9278,2
1884,9278,14
1885,10286,12
