id,created_at,updated_at,nombre,fecha_fundacion,direccion,direccion,estatutos
217,2018-02-02 16:40:17.839602,2018-02-02 16:40:17.839645,Consejo Comunitario de la Comunidad Negra de Limones,NA,NA,NA,NA
218,2018-02-02 16:46:23.932100,2018-02-02 16:46:23.932313,Fundalabor - Fundación Laborar por Colombia,NA,NA,NA,NA
219,2018-02-02 16:53:47.338917,2018-02-02 16:53:47.338957,Consejo Comunitario Ma Kankamaná de San Basilio de Palenque,NA,NA,NA,NA
220,2018-02-02 17:28:42.910875,2018-02-02 17:28:42.910950,Asafroscol 4- Asociación de Af. Sin Ánimo de Lucro S. Cristóbal Sur,NA,NA,NA,NA
221,2018-02-02 17:32:59.297655,2018-02-02 17:32:59.297724,Asociación Colombia Negra Huellas de Africanía en Paz,NA,NA,NA,NA
222,2018-02-02 17:45:25.298123,2018-02-02 17:45:25.298177,Fundevia - Fundación Deportiva Viáfara,NA,NA,NA,NA
223,2018-02-02 17:51:00.402308,2018-02-02 17:51:00.402367,Consejo Comunitario de Alejandro Durán Díaz,NA,NA,NA,NA
224,2018-02-02 18:06:16.682385,2018-02-02 18:06:16.682475,Mí Territorio Ancestral Consejo Comunitario de la Comunidad Negra de Tierra Baja,NA,NA,NA,NA
225,2018-02-02 18:14:31.453626,2018-02-02 18:14:31.453660,Consejo Comunitario Renacer Negro,NA,NA,NA,NA
226,2018-02-02 18:22:18.835288,2018-02-02 18:22:48.717664,CVUBC - Consejo Comunitario Veredas Unidas Un Bien Común,NA,NA,NA,NA
227,2018-02-02 18:30:12.794109,2018-02-02 18:30:12.794177,MISCA - Consejo Comunitario de Comunidades Negras Palenque Vereda Las Trescientas y Galapa,NA,NA,NA,NA
228,2018-02-02 18:38:18.501894,2018-02-02 18:38:18.501949,Consejo Comunitario de Comunidades Negras Obatala,NA,NA,NA,NA
